owner,modifier,adjective,type,attribute,value
Guadalupe,2,Kindhearted,Dagger,Nutritiousness,23298
Gus,8,Obese,Manuscript,Livingness,41297
Guss,1,Secretive,Manuscript,Rainyness,6104
Gust,8,Swift,Tome,Spottedness,11852
Gustaf,9,Labored,Greatsword,Versedness,2558
Gustav,5,Tiresome,Toe,Unequaledness,72521
Gustave,7,Cooperative,Twine,Concernedness,1294
Gustavus,2,Cheerful,Novel,Old-fashionedness,83221
Guy,7,Fanatical,Jar,Dearness,16112
Hal,4,Equal,Breastplate,Boredness,9577
Halbert,4,Disastrous,Arrow,Flashyness,13312
Hall,7,Arrogant,Greathammer,Quaintness,22300
Hallie,7,Itchy,Apple,Impoliteness,13394
Halsey,3,Pleasant,Bow,Vacuousness,11790
Hamilton,3,High-pitched,Lightsaber,Panickyness,14834
Hamp,8,Smart,Toothbrush,Hocness,2097
Hampton,3,Interesting,Shiv,Silkyness,7319
Handy,4,Sleepy,Greathammer,Toothsomeness,23408
Hans,4,Lethal,Phone,Proudness,20290
Hansford,6,Selective,Mace,Toothsomeness,9476
Hardie,6,Jumpy,Scalpel,Briefness,8518
Hardin,2,Envious,Hat,Enthusiasticness,11187
Hardy,5,Scientific,Arrow,Spottyness,19355
Harl,9,Shrill,Mace,Functionalness,1249
Harlan,1,Absorbed,Eyeball,Adventurousness,31375
Harland,8,Faint fair,Bow,Piquantness,13387
Harley,6,Deep,Toe,Giddyness,4146
Harman,9,Female fertile,Toe,Utterness,9846
Harmon,9,Squalid,Eyeball,Tenness,14799
Harold,8,Unable,Screwdriver,Crookedness,23478
Harper,5,Hapless,Figurine,Abstractedness,646
Harrie,2,Nifty,Plushie,Aliveness,4817
Harris,1,Melodic,Wand,Thinkableness,8412
Harrison,5,Modern,Arrow,Foamyness,9076
Harry,3,Military,Text,Attractiveness,17299
Hartwell,7,Hard,Thingamajig,Economicness,6870
Harve,8,Natural,Hat,Ajarness,21820
Harvey,4,Stiff,Shiv,Strongness,10259
Harvie,1,Early,String,Coordinatedness,65168
Harvy,7,Odd,Tome,Dirtyness,10923
Hattie,6,Second-hand,Toe,Ruddyness,12785
Hayden,6,Mere,Cheezit,Whiteness,4145
Hayes,9,Spiritual,Cheese,Adness,63210
Hays,8,Zonked,Figurine,Whiteness,7803
Haywood,3,Lonely,Thingamajig,Allegedness,10446
Heber,7,Tenuous,Putty,Safeness,13480
Hector,2,Plausible,Sythe,Needlessness,804
Helen,1,Open,Hat,Difficultness,11983
Hence,1,Cluttered,Thingamajig,Giftedness,5349
Henderson,2,Useless,Toe,Whisperingness,39111
Henery,8,Common,Hat,Parsimoniousness,31061
Henry,7,Smoggy,Sword,Fluffyness,2424
Herbert,1,Fanatical,Scalpel,Lameness,65406
Herman,5,Diligent,Text,Closedness,14843
Hermann,1,Earthy,Club,Abidingness,15001
Hermon,5,Wary,Screwdriver,Adamantness,2959
Herschel,5,Far-flung,Shawl,Well-offness,46237
Hershel,5,Petite,Tome,Wittyness,37104
Hervey,1,Muddled,Chalice,Colorfulness,614
Hezekiah,5,Material,Saw,Busyness,7997
Hilary,2,Juvenile,Jar,Plainness,1507
Hillard,6,Attractive,Plushie,Aboriginalness,15086
Hilliard,8,Furry furtive,Toe,Mundaneness,845
Hiram,3,Clean,Hat,Insidiousness,4725
Hollie,2,Medical,Apple,Nutritiousness,10678
Hollis,9,Unable,Cheezit,Deeplyness,9554
Holly,4,Humdrum,Teacup,Acceptableness,24162
Holmes,7,,Maul,Zestyness,3722
Homer,5,Female fertile,Necklace,Attractiveness,9887
Hope,3,Periodic,Shiv,Sturdyness,18936
Horace,7,Jazzy,Novel,Guardedness,3255
Horatio,8,Wiggly,Longsword,Learnedness,632
Hosea,5,Shallow,Wand,Slowness,9607
Hosie,9,Puffy,Putty,Giganticness,11670
Hosteen,5,Secretive,Mace,Sourness,763
Houston,8,Two,Sythe,Overtness,30436
Howard,4,Slim,Eyeball,Awesomeness,16732
Howell,3,Aloof,Spoon,Bestness,2531
Hoy,6,Depressed,Eyeball,Incandescentness,5131
Hoyt,6,Bloody,Curd,Utopianness,3192
Hubbard,9,Obsolete,Thingamajig,Perfectness,15674
Hubert,5,Irritating,Club,Teeny-tinyness,6936
Hudson,2,Aspiring,Wand,Regularness,13291
Huey,1,Internal,Breastplate,Numberlessness,14411
Hugh,6,grieving,Breastplate,Fastness,18436
Hugo,6,Shrill,Spoon,Shiveringness,534
Humphrey,2,Righteous,Cheese,Fascinatedness,29612
Hunt,6,Elderly,Phone,Awakeness,44516
Hunter,9,Lively,String,Dearness,75761
Hurley,2,Grumpy,Chalice,Vivaciousness,6966
Huston,5,Misty,Necklace,Cooperativeness,2598
Hyman,6,Penitent,Shoe,Meekness,66337
Hyrum,8,Second,Book,Ludicrousness,16707
Ida,2,Nippy,Lego,Bustlingness,14700
Ike,1,Tart,Thingamajig,Placidness,12318
Ira,6,Smart,Orange,Glistening gloriousness,15154
Irven,8,Disagreeable,Stick,Ambiguousness,6335
Irvin,9,Tightfisted,Shiv,Spiffyness,6302
Irving,2,Worried,Mace,Receptiveness,20484
Irwin,4,Crowded,Manuscript,Seemlyness,45253
Isaac,7,Peaceful,Apple,Dizzyness,991
Isadore,4,Feeble feigned,Longsword,Spookyness,359
Isaiah,8,Hospitable,Toe,Unnaturalness,1648
Isam,5,Sudden,Longsword,Helplessness,4673
Isham,5,Learned,Necklace,Healthyness,26635
Ishmael,9,Naughty,Screwdriver,Noxiousness,58149
Isiah,9,Expensive,Novel,Robustness,70747
Isidore,5,Pleasant,Eyeball,Zealousness,20350
Isom,4,Eminent,Hammer,Smellyness,119892
Israel,9,Cluttered,Fish,Caringness,135611
Isreal,9,Abandoned,Cheezit,Slowness,13227
Issac,5,Warlike,Transcript,Weakness,9543
Ivan,7,Profuse,Book,Chiefness,14079
Ivey,6,Loud,Longsword,Rightfulness,16519
Ivory,9,Jaded,Banana,Twoness,6444
Ivy,5,Plausible,Longsword,Volatileness,6033
Jabez,5,Colossal,Eyeball,Triteness,113333
Jack,1,Necessary,Figurine,Plantness,15897
Jackson,4,Tasteless,Thingamajig,Perfectness,45403
Jacob,8,Flimsy,Book,Fearful fearlessness,4311
Jake,1,Tiny,Shawl,Substantialness,11826
James,5,Unadvised,Bow,Tangyness,11605
Jared,9,Burly,Curd,Heartbreakingness,14150
Jarrett,7,Motionless,Spoon,Reconditeness,8960
Jarvis,7,Legal,Teacup,Unevenness,10350
Jason,4,Temporary,Manuscript,Windyness,12736
Jasper,7,Flashy,Cheese,Upsetness,1876
Jay,3,Deadpan,Sword,Direfulness,21474
Jean,2,Damaged,Arrow,Eminentness,7551
Jeff,5,Fine,Staff,Coordinatedness,7273
Jefferson,3,Typical,Eyeball,Knownness,37744
Jennie,8,Daily,Plushie,Windyness,1806
Jere,3,Plant,Shiv,Politeness,52845
Jeremiah,2,Grouchy,Kukri,Tightfistedness,14337
Jerome,8,Delicious,Greatsword,Pastoralness,7996
Jerry,4,Furry furtive,Necklace,Sharpness,3899
Jess,1,Terrible,Transcript,Wearyness,6172
Jesse,3,Successful,Lawnmower,Grumpyness,11312
Jessee,2,Tangy,Thingamajig,Dearness,13545
Jessie,6,Better,Arrow,Long-termness,11334
Jesus,6,Parched,Curd,Oceanicness,44522
Jewel,7,Female fertile,Transcript,Ossifiedness,11140
Jim,8,Colorful,Rod,Frightenedness,7185
Jimmie,9,Hapless,Helmet,Materialness,40058
Jobe,8,Bitter,Novel,Nosyness,131113
Jodie,4,Daffy,Eyeball,Unknownness,4475
Joe,5,Wrong,Toe,Luxuriantness,24928
Joel,2,Puffy,Book,Spikyness,5185
Joeseph,6,Illegal,Helmet,Wholesaleness,5371
Joesph,6,Cooing,Lego,Imaginaryness,9909
John,4,Imminent,Spoon,Powerfulness,10300
Johnathan,8,Defeated,Shoe,Oldness,13676
Johnie,5,Picayune,Sythe,Typicalness,10611
Johnnie,5,Scattered,Toothbrush,Cheapness,68207
Johnny,9,Zany,Toothbrush,Boorishness,1188
Johnson,6,Venomous,Book,Irateness,4241
Jonah,1,Dark,Figurine,Astonishingness,14608
Jonas,6,Unadvised,Chalice,Marriedness,64516
Jonathan,4,Thinkable,Manuscript,Doubtfulness,9688
Jones,7,Left,Coat,Dapperness,41236
Jordan,4,Tedious,Screwdriver,Unevenness,42492
Jose,6,Damp,Maul,Impossibleness,3343
Joseph,9,Shaggy,Banana,Adamantness,17816
Josephus,7,Extra-small,Lightsaber,Outgoingness,44869
Josh,2,Rhetorical,Cheezit,Imaginaryness,15518
Joshua,2,Low,Stick,Agonizingness,26061
Josiah,4,Merciful,Wand,Yummyness,12676
Juan,9,Tested,Novel,Scarceness,23373
Judd,9,Soggy,Rod,Knownness,5276
Judge,8,Lacking,Phone,Far-flungness,14002
Judson,9,Dashing,Mace,Xenophobicness,25703
Jule,3,Permissible,Lego,Wonderfulness,32752
Jules,6,Fascinated,Text,Drunkness,13416
Julian,9,Insidious,String,Materialisticness,1305
Julious,4,Brown,Kukri,Aggressiveness,29223
Julius,2,Psychedelic,Toothbrush,Statuesqueness,7784
Juluis,9,Needy,Helmet,Unwrittenness,5578
June,9,Brown,Dagger,Raggedness,9360
Junior,7,Adhesive,Rod,Cruelness,45614
Junious,5,Round,Cheese,Debonairness,3669
Junius,4,Colossal,Maul,Spuriousness,2403
Justice,4,Nappy,Longsword,Furry furtiveness,2662
Justin,1,Draconian,Shawl,Skinnyness,14153
Justus,5,Acoustic,Mace,Meanness,7996
Karl,3,Synonymous,Sythe,Ludicrousness,15078
Katherine,8,Wonderful,Apple,Whisperingness,13861
Kelly,2,Screeching,Gun,Alertness,31808
Kenneth,3,Strange,Phone,Illegalness,94639
King,5,Erratic,Text,Woodenness,7717
Kirby,3,Sick,Coat,Rigidness,13236
Kirk,2,Nervous,Eyeball,Questionableness,25426
Kit,3,Nonstop,Sythe,Raggedness,4727
Knox,7,Petite,Lego,Medicalness,22942
Knute,3,Grumpy,Orange,Equableness,15522
Kyle,8,Flippant,Novel,Needlessness,48938
Lacy,1,Lonely,String,Meekness,8366
Lafayette,9,Mute,String,Scandalousness,9929
Lafe,7,Careful,Sword,Romanticness,2332
Lambert,2,Premium,Sythe,Guardedness,40716
Landon,8,Pink,Staff,Impoliteness,15316
Lane,7,Bent,Club,Hulkingness,54097
Larkin,4,Harsh,Greatsword,Luckyness,63620
Larry,6,Learned,Shiv,Fascinatedness,13987
Laurence,8,Snobbish,Banana,Motionlessness,37019
Lavern,8,Oval,Sword,Soreness,45438
Lawerence,8,Tightfisted,Scalpel,Robustness,105194
Lawrence,7,Sloppy,Club,Defectiveness,24356
Lawson,9,Telling,Shiv,Picayuneness,10948
Lawyer,3,Scary,Lego,Meekness,12752
Layton,6,Wicked,Shoe,Picayuneness,783
Leander,7,Nimble,Twine,Amuckness,23420
Lee,7,Momentous,Kukri,Meltedness,104759
Leland,4,Substantial,Lawnmower,Evanescentness,19562
Lem,3,Second,Breastplate,Threeness,5389
Lemon,8,Giant,Sword,Dynamicness,51873
Lemuel,1,Lucky,Twine,Thickness,21470
Len,4,Phobic,Teacup,Thirdness,10683
Lenard,9,Able,Shawl,Stupendousness,29665
Lennie,3,Telling,Kukri,Imperfectness,11631
Leo,3,Callous,Staff,Ritzyness,36309
Leon,2,Absorbing,Shawl,Nextness,10147
Leonard,1,Cumbersome,Transcript,Cooperativeness,53610
Leonidas,1,Hesitant,Plushie,Scintillatingness,8850
Leopold,4,Woebegone,Maul,Aboundingness,16865
Leroy,3,Wrathful,Teacup,Naiveness,6420
Lesley,4,Aboard,Manuscript,Pointlessness,1722
Leslie,8,Nonstop,Phone,Raspyness,37047
Less,4,Colossal,Shiv,Disastrousness,2331
Lester,6,Glamorous,Kukri,Whisperingness,8019
Levi,8,Abundant,Banana,Gleamingness,6263
Levy,5,Outstanding,Manuscript,Vastness,2356
Lew,1,Early,Eyeball,Judiciousness,13394
Lewis,2,Roomy,Hammer,Youngness,31132
Lige,1,Acceptable,Greatsword,Dashingness,4360
Lillian,2,Gamy,Carrot,Swankyness,6828
Lincoln,3,Splendid,Sword,Wantingness,29413
Lindsay,5,Thankful,Screwdriver,Sincereness,5095
Lindsey,4,Wanting,Lego,Lackadaisicalness,9040
Linn,2,Madly,Fish,Mightyness,21981
Linus,8,Faithful,Necklace,Wistfulness,28259
Linwood,4,Hysterical,Text,Deafeningness,14600
Lionel,3,Bumpy,Book,Hulkingness,7570
Littleton,3,Gigantic,Curd,Synonymousness,14326
Llewellyn,3,Ablaze,Helmet,Adhesiveness,13489
Lloyd,8,Grumpy,Club,Aboundingness,19746
Logan,5,Helpful,Wand,Haltingness,8230
Lon,2,Adaptable,Sythe,Faithfulness,5411
Lone,4,Maddening,Figurine,Embarrassedness,2420
Lonie,6,Exotic,Twine,Lovingness,13454
Lonnie,8,Aboriginal,Manuscript,Auspiciousness,123201
Lonzo,2,Unsightly,Sythe,Zonkedness,5191
Lora,2,Foregoing,Staff,Lewdness,10000
Loren,4,Shrill,Gun,Rudeness,12667
Lorenza,7,Damaged,Club,Ruthlessness,26070
Lorenzo,3,Hesitant,Sythe,Highfalutinness,11587
Lou,3,Evasive,Helmet,Youthfulness,11365
Louie,2,Neighborly,Curd,Jollyness,3669
Louis,3,Gaping,String,Enchantingness,89706
Louise,4,Tame,Breastplate,Rainyness,13702
Lowell,7,Nosy,Toe,Headyness,23260
Loy,1,Stale,Dagger,Slipperyness,27234
Loyd,3,Thoughtful,Banana,Aboriginalness,54738
Lucas,3,Eminent,Fish,Vulgarness,218
Lucian,8,Fine,Wand,Obeseness,24925
Lucien,4,Sordid,Spoon,Enchantedness,43208
Lucious,9,Yielding,Banana,Flutteringness,3881
Lucius,7,Actually,Staff,Workableness,74501
Lucy,2,Elderly,Cheezit,Glistening gloriousness,53360
Ludwig,2,Irritating,Scalpel,Drunkness,50618
Lue,2,Nasty,Arrow,Animatedness,10250
Luis,6,Flagrant,Chalice,Elegantness,21709
Luke,5,Cumbersome,Greathammer,Parallelness,5626
Lum,2,Nice,Jar,Flippantness,10603
Luther,5,Defeated,Shiv,Deadness,14142
Lyle,6,Wretched,Thingamajig,Tiresomeness,10815
Lyman,1,Rotten,Teacup,Lazyness,9370
Lynn,4,Expensive,Sword,Lackingness,4329
Mac,3,Grotesque,Lightsaber,Murkyness,18485
Mack,8,Abortive,Plushie,Combativeness,95637
Madison,4,Shut,Scalpel,Silkyness,7218
Mahlon,1,Expensive,Eyeball,Crazyness,13736
Major,1,Overwrought,Spoon,Old-fashionedness,19062
Mal,3,Peaceful,Wand,Etherealness,20579
Malachi,1,Womanly,String,Largeness,11164
Malcolm,1,Untidy,Putty,Kindlyness,90135
Manford,6,Receptive,Tome,Afraidness,8261
Manley,4,Skillful,Sword,Coherentness,25315
Manly,6,Scared,Lego,Majesticness,20805
Mannie,9,Disillusioned,Hammer,Slimness,130584
Manning,9,Befitting,Hat,Embarrassedness,5755
Manuel,5,Tan,Orange,Marriedness,7209
Marcel,6,Mute,Club,Invincibleness,33735
Marcellus,2,Festive,Arrow,Cloudyness,973
Marcus,1,Truculent,Book,Accidentalness,45399
Margaret,1,Hushed,Text,Ritzyness,31315
Margarito,1,Zany,Lego,Gabbyness,11084
Marian,3,Repulsive,Plushie,Barbarousness,11600
Marion,5,Odd,Cheese,Bawdyness,5546
Marius,8,Luxuriant,Lawnmower,Tangibleness,25486
Mark,2,Possessive,Staff,Simplisticness,2196
Marquis,2,Tawdry,Fish,Unwrittenness,36894
Marrion,4,Scintillating,Teacup,Interestingness,3601
Marsh,9,Thin,Lawnmower,Drearyness,12746
Marshal,5,Educated,Greatsword,Redundantness,917
Marshall,2,Malicious,Carrot,Twoness,2967
Mart,3,Separate,Dagger,Kindlyness,39428
Martha,6,Boorish,Banana,Fanaticalness,17437
Martin,7,New,Transcript,Petiteness,10468
Marvin,2,Spotty,Sword,Well-to-doness,9139
Mary,3,Handsomely,Lightsaber,Cumbersomeness,31131
Mason,3,Jaded,Sythe,Earthyness,7950
Mat,5,Glib,Lightsaber,Jumpyness,4825
Math,6,Kindhearted,Rod,Childlikeness,4664
Mathew,8,Juvenile,Chalice,Guiltlessness,4585
Mathias,8,Unsuitable,Hat,Livelyness,6648
Matt,3,Important,Sythe,Pumpedness,5042
Matthew,5,Comfortable,Cheese,Wealthyness,8445
Mattie,1,Aromatic,Thingamajig,Deafeningness,5030
Maud,8,Workable,Twine,Dizzyness,887
Maude,5,Unhealthy,Club,Boundlessness,8351
Maurice,4,Detailed,Shawl,Fadedness,31103
Max,5,Damp,Hat,Separateness,35472
Maxwell,2,Stale,Coat,Wantingness,40412
May,8,Womanly,Lego,Diligentness,15686
Maynard,6,Undesirable,Hat,Nonstopness,54947
Melton,4,Imaginary,Scalpel,Lyingness,26049
Melville,7,Sweet,Lego,Sableness,14848
Melvin,7,Rude,Mace,Maddeningness,4744
Mercer,3,Direful,Kukri,Flagrantness,5059
Merle,1,Jobless,Apple,Overratedness,3343
Merrill,2,Jumbled,Hammer,Gapingness,10104
Merritt,9,Wide-eyed,Arrow,Soggyness,11060
Merton,7,Ultra,Cheezit,Elfinness,41570
Mervin,4,Gaudy,Lawnmower,Robustness,3503
Meyer,2,Quick,Plushie,Acousticness,22881
Michael,8,Flaky,Hammer,Freshness,35532
Micheal,4,Uppity,Thingamajig,Romanticness,4298
Michel,4,Scandalous,Shawl,Helplessness,26864
Miguel,1,Frequent,Helmet,Abortiveness,21266
Mike,2,Happy,Shiv,Abhorrentness,22001
Miles,5,Uninterested,Screwdriver,Trueness,12034
Milford,8,Mere,Spoon,Petiteness,10865
Millard,8,Hoc,Kukri,Daffyness,31995
Miller,5,Giddy,Lawnmower,Accessibleness,7081
Mills,6,Ad,Scalpel,Cloisteredness,4548
Milo,3,Soft,Lightsaber,Accessibleness,9101
Milton,5,Animated,Greatsword,Secretness,11893
Minnie,6,Divergent,Necklace,Toothsomeness,1146
Minor,3,Important,Scalpel,Ritzyness,13789
Mitchel,4,Selfish,Maul,Evasiveness,48163
Mitchell,5,Super,Plushie,Noxiousness,9101
Monroe,7,Efficient,Toothbrush,Paleness,11914
Mont,9,Damp,Fish,Agonizingness,26521
Monte,6,General gentle,Shiv,Industriousness,11404
Montgomery,2,Neighborly,Figurine,Productiveness,14725
Morgan,3,Lying,Club,Meanness,10273
Morris,9,Mundane,Screwdriver,Astonishingness,15965
Mortimer,6,Long,Wand,Wateryness,28462
Morton,1,Long,Teacup,Sincereness,21383
Mose,2,Periodic,Toe,Sulkyness,19512
Moses,6,Nosy,Twine,Tenseness,13137
Murphy,5,Bashful,Shoe,Lowlyness,57812
Murray,9,Left,Putty,Familiarness,73398
Myron,5,Gigantic,Thingamajig,Belligerentness,17093
Napoleon,5,Roasted,Teacup,Measlyness,17358
Nat,9,Mushy,Eyeball,Swelteringness,6836
Nathan,2,Black,Curd,Zealousness,11640
Nathaniel,1,Succinct,Tome,Daffyness,4884
Neal,9,Wild,Kukri,Heartbreakingness,38218
Ned,7,Deep,Dagger,Nimbleness,5238
Neil,2,Jolly,Dagger,Waggishness,32786
Nellie,9,Labored,Scalpel,Giftedness,13136
Nels,6,Lethal,Apple,Rhetoricalness,13187
Nelson,1,Well-off,Banana,Longness,1180
Newell,4,Damaging,Toe,Usedness,44380
Newman,6,Horrible,Cheezit,Hypnoticness,10722
Newt,3,Sincere,Chalice,Nervousness,5813
Newton,8,Auspicious,String,Measlyness,16135
Nicholas,1,Secretive,Wand,Carelessness,10264
Nick,7,Upset,Necklace,Funnyness,9144
Nickolas,7,Alluring,Mace,Nappyness,11272
Noah,7,Subdued,Bow,Wide-eyedness,19574
Noble,5,Medical,Text,Wonderfulness,17444
Noel,8,Quirky,Screwdriver,Rottenness,44228
Nolan,1,Gorgeous,Longsword,Lonelyness,88926
Norman,3,Nosy,Greatsword,Creepyness,5265
Norris,6,Picayune,Phone,Erectness,568
Obe,7,Abrasive,Club,Raggedness,62732
Obed,9,Alive,Spoon,Fluffyness,12882
Obie,1,Knowledgeable,Club,Valuableness,8923
Ocie,2,Light,Toothbrush,Wonderfulness,10301
Octave,6,Electric,Shiv,Nastyness,7901
Oda,2,Naive,Screwdriver,Subduedness,13428
Odie,4,Mysterious,Lego,Ickyness,33184
Okey,5,Capable,Twine,Mysteriousness,7265
Ola,9,Naughty,Necklace,Aquaticness,7516
Olaf,8,Thirsty,Banana,Undesirableness,37480
Ole,5,Male,Apple,Cleverness,44484
Olen,6,Lively,Orange,Huskyness,22789
Olie,1,Nimble,Manuscript,Briefness,11208
Olin,8,Imperfect,Phone,Interestingness,14113
Oliver,5,Tedious,Curd,Noxiousness,106482
Ollie,9,Luxuriant,Hammer,Absorbedness,4218
Omar,1,Dry,Scalpel,Distinctness,1477
Omer,2,Forgetful,Lightsaber,Angryness,23108
Ora,8,Hurt,Putty,Bumpyness,2082
Oral,1,Agreeable,Necklace,Tacitness,17575
Oran,3,Frequent,Jar,Female fertileness,791
Orange,9,Yellow,Hat,Knottyness,4853
Oren,9,Obese,Coat,Profuseness,130812
Orie,7,Cooing,Phone,Snobbishness,12856
Orin,5,Lying,Jar,Disagreeableness,14597
Orla,4,Trite,Toe,Spiritualness,3730
Orlando,1,Possessive,Rod,Cuddlyness,16257
Orley,2,Stiff,Thingamajig,Dazzlingness,21800
Orlo,5,Crowded,String,Motionlessness,4900
Orren,9,Mature,Shiv,Meltedness,9750
Orrie,2,Unaccountable,Plushie,Pleasantness,9307
Orrin,3,Giant,Maul,Melodicness,12171
Orson,6,Glib,Transcript,Delightfulness,8025
Orval,7,Energetic,Book,Ruddyness,295
Orville,7,Null,Maul,Naiveness,104
Osborne,8,Dreary,Sword,Zippyness,475
Oscar,2,Breakable,Banana,Aboriginalness,150
Ossie,4,Nosy,Longsword,Minorness,20392
Oswald,8,Woebegone,Banana,Rareness,13492
Otha,5,Ad,Wand,Aromaticness,14646
Otho,7,Rigid,Bow,Immenseness,1712
Otis,1,Loutish,Toothbrush,Parsimoniousness,18798
Ott,6,Unsuitable,Text,Wiseness,14156
Ottis,6,Elastic,Club,Lopsidedness,33903
Otto,9,Clean,Shawl,Realness,1975
Owen,4,Puzzling,Kukri,Judiciousness,25960
Pablo,1,Petite,Greathammer,Murkyness,45053
Page,4,Teeny-tiny,Transcript,Equalness,13408
Palmer,3,Strange,Carrot,Sableness,16253
Paris,7,Gabby,Kukri,Unbiasedness,31874
Park,2,Sick,Stick,Fineness,16040
Parker,6,Obscene,Cheese,Stimulatingness,5479
Parley,7,Ruddy,Jar,Subsequentness,9656
Pat,9,Six,Lightsaber,Remarkableness,8404
Patrick,5,Witty,Banana,Roastedness,8140
Paul,7,Childlike,Cheezit,Wiseness,20381
Pearl,5,Alcoholic,Fish,Hideous highness,56001
Pearley,3,Grateful gratis,Putty,Freezingness,14373
Pearlie,8,Husky,Cheese,Newness,32613
Pedro,7,Awake,Screwdriver,Worthlessness,14232
Percival,1,Hollow,Putty,Extra-largeness,1692
Percy,9,Earthy,Putty,Puffyness,12759
Perley,1,Tart,Kukri,Tangibleness,9039
Perry,7,Threatening,Text,Foolishness,5378
Pete,4,Snobbish,Hammer,Giganticness,25659
Peter,7,Cluttered,Lego,Miscreantness,18579
Phil,4,Obtainable,Lightsaber,Busyness,12375
Philip,6,Obsolete,Lego,Wrongness,10066
Phillip,4,Elderly,Teacup,Efficaciousness,10721
Philo,5,Superficial,Book,Quarrelsomeness,5458
Pierce,1,Deranged,Helmet,Volatileness,67236
Pierre,2,Whimsical,Necklace,Woodenness,12917
Pink,3,Sophisticated,Novel,Rusticness,1180
Pinkney,9,Fortunate,Phone,Womanlyness,26532
Pleas,6,Ossified,Putty,Electricness,21810
Pleasant,8,Aberrant,Twine,Obtainableness,38523
Ples,6,Plant,Banana,Tastelessness,9822
Plummer,2,Useless,Orange,Boundlessness,14290
Porter,2,Foregoing,Chalice,Slimyness,9907
Presley,8,Fluffy,Maul,Woebegoneness,15393
Press,5,Obnoxious,Scalpel,Unrulyness,14785
Preston,4,Neighborly,Eyeball,Nimbleness,9332
Price,7,Shaky,Shiv,Spectacularness,1833
Primus,6,Serious,Longsword,Giganticness,15524
Prince,3,Material,Chalice,Bitterness,20682
Prosper,9,Unruly,Figurine,Ancientness,59943
Pryor,2,Unequal,Helmet,Absentness,60295
Quincy,8,Curious,Banana,Elderlyness,18776
Rafael,9,Gaudy,Necklace,Stormyness,17317
Rafe,9,Minor,Cheezit,Pumpedness,26671
Raleigh,8,Rough,Chalice,Deeplyness,3288
Ralph,3,Hollow,Staff,Erraticness,2219
Ramon,9,Divergent,Twine,Shutness,16083
Randall,9,Trite,Hammer,Amusingness,10654
Randle,4,Black,Saw,Skillfulness,9099
Randolph,1,Ill-informed,Jar,Standingness,32329
Ransom,5,Resolute,Sythe,Quackness,12935
Raoul,3,Tender tense,Cheese,Voraciousness,33922
Ray,1,Frequent,String,Separateness,6633
Raymond,5,Tall,Stick,Soreness,65516
Redden,6,Uneven,Plushie,Oceanicness,127435
Reece,6,Gamy,Curd,Gullible gustyness,12682
Reed,6,Greedy,Novel,Possibleness,18126
Reese,1,Warlike,Plushie,Secondness,11122
Reginald,5,Dysfunctional,Transcript,Aquaticness,11865
Reinhold,9,Sturdy,Maul,Massiveness,131
Rene,1,Chief,Lawnmower,Bentness,53180
Reuben,1,Obsolete,Plushie,Didacticness,4398
Rex,9,Curly,Gun,Knownness,2383
Rice,7,Dull,Transcript,Fragileness,5658
Rich,9,Careful,Shoe,Fiveness,20705
Richard,3,Dashing,Dagger,Scarceness,44799
Richmond,5,Stale,Apple,Miscreantness,11334
Riley,9,Fearful fearless,Banana,Tediousness,18182
Robert,1,Lavish,Stick,Usefulness,17610
Robin,8,Loose,Shoe,Overwroughtness,7829
Roderick,6,Panoramic,Shiv,Spottyness,47769
Rodney,6,Concerned,Fish,Famousness,721
Roe,6,Onerous,Club,Noisyness,49592
Roger,7,Omniscient,Twine,Lethalness,25602
Roland,3,Impartial,Shawl,Four frailness,6950
Roll,6,Flashy,Breastplate,Bouncyness,131095
Rolla,1,Earthy,Putty,Chiefness,8673
Rolland,6,Present,Orange,Cynicalness,13470
Rollie,6,Knotty,Plushie,Accidentalness,16454
Rollin,4,Rotten,Phone,Periodicness,19123
Rollo,3,Ambiguous,Phone,Uselessness,23592
Roman,9,Dead,Toothbrush,Mightyness,25397
Rome,2,Conscious,Lawnmower,Ruddyness,45069
Romeo,7,Synonymous,Mace,Colossalness,5441
Roscoe,3,Fallacious,Coat,Unarmedness,131443
Rose,1,Troubled,Gun,Wetness,571
Ross,5,Adventurous,String,Easyness,51286
Roswell,1,Acid,Shoe,Eminentness,25124
Rowland,1,Hypnotic,Curd,Ripeness,3900
Roy,6,Halting,Lego,Clumsyness,17329
Royal,3,Paltry,Lawnmower,Ossifiedness,10168
Rube,8,Fast,Transcript,Hocness,543
Ruben,1,Imminent,Arrow,Grateful gratisness,15753
Rubin,2,Deranged,Wand,Closedness,48060
Ruby,7,Mysterious,Club,Unnaturalness,13624
Rudolph,7,Painful,Coat,Festiveness,1772
Ruffus,5,Flawless,Shawl,Narrowness,9622
Rufus,1,Internal,Bow,Markedness,33618
Rupert,6,Diligent,Scalpel,Mundaneness,22233
Rush,9,Courageous,Greatsword,Childlikeness,13828
Russel,6,Workable,Scalpel,Direfulness,14839
Russell,7,Unarmed,Putty,Panickyness,13644
Rutherford,3,Knowledgeable,Text,Strangeness,13411
Salomon,7,Decisive,Transcript,Disagreeableness,92499
Sam,7,Known,Dagger,Outstandingness,44973
Sammie,8,Oceanic,Bow,Uttermostness,9999
Sampson,7,Deep,String,Aquaticness,14790
Samual,4,Hurt,Shiv,Slimness,25724
Samuel,6,Exotic,Breastplate,Worthlessness,13554
Sanders,9,Probable,Hammer,Creepyness,7852
